annee,matiere,territoire,quantite_generee_donnees_agglo,quantite_collectee_donnees_agglo,taux_recuperation_donnees_agglo,ratio_recuperation_donnees_agglo,quantite_generee_donnees_CMM,quantite_collectee_donnees_CMM,taux_recuperation_donnees_CMM,ratio_recuperation_donnees_CMM
2012,Matières recyclables,Agglomération de Montréal,327875,173046,58%,89,NA,NA,NA,NA
2012,Matières recyclables,Ville de Montréal,282555,146829,57%,86,NA,NA,NA,NA
2012,Matières recyclables,Ahuntsic-Cartierville,20303,9912,54%,75,NA,NA,NA,NA
2012,Matières recyclables,Anjou,6554,3063,51%,71,NA,NA,NA,NA
2012,Matières recyclables,Baie-d'Urfé,961,593,68%,153,NA,NA,NA,NA
2012,Matières recyclables,Beaconsfield,4486,2524,62%,126,NA,NA,NA,NA
2012,Matières recyclables,Côte-des-Neiges–Notre-Dame-de-Grâce,25778,13463,57%,79,NA,NA,NA,NA
2012,Matières recyclables,Côte-Saint-Luc,4600,2309,55%,70,NA,NA,NA,NA
2012,Matières recyclables,Dollard-Des Ormeaux,8505,4460,58%,89,NA,NA,NA,NA
2012,Matières recyclables,Dorval,3492,2031,64%,107,NA,NA,NA,NA
2012,Matières recyclables,Hampstead,1482,898,67%,122,NA,NA,NA,NA
2012,Matières recyclables,L'Île-Bizard–Sainte-Geneviève,3820,2060,59%,110,NA,NA,NA,NA
2012,Matières recyclables,Kirkland,4215,2501,65%,119,NA,NA,NA,NA
2012,Matières recyclables,Lachine,7869,3807,53%,86,NA,NA,NA,NA
2012,Matières recyclables,LaSalle,12454,6639,59%,85,NA,NA,NA,NA
2012,Matières recyclables,Mercier–Hochelaga-Maisonneuve,23025,12147,58%,89,NA,NA,NA,NA
2012,Matières recyclables,Montréal-Est,747,349,51%,89,NA,NA,NA,NA
2012,Matières recyclables,Montréal-Nord,13708,5940,48%,70,NA,NA,NA,NA
2012,Matières recyclables,Montréal-Ouest,1192,711,66%,134,NA,NA,NA,NA
2012,Matières recyclables,Mont-Royal,4084,2465,66%,124,NA,NA,NA,NA
2012,Matières recyclables,Outremont,4467,2713,67%,109,NA,NA,NA,NA
2012,Matières recyclables,Pierrefonds-Roxboro,12026,6334,58%,91,NA,NA,NA,NA
2012,Matières recyclables,Plateau-Mont-Royal (Le),20096,10816,59%,105,NA,NA,NA,NA
2012,Matières recyclables,Pointe-Claire,6279,4039,71%,128,NA,NA,NA,NA
2012,Matières recyclables,Rivière-des-Prairies–Pointe-aux-Trembles,18636,10075,59%,91,NA,NA,NA,NA
2012,Matières recyclables,Rosemont–La Petite-Patrie,24668,14326,64%,103,NA,NA,NA,NA
2012,Matières recyclables,Sainte-Anne-de-Bellevue,1239,784,70%,146,NA,NA,NA,NA
2012,Matières recyclables,Saint-Laurent,14485,7220,55%,76,NA,NA,NA,NA
